# RQ2 (a) Paired t + Cohen's dz (traditional vs simplified_q)
model,length_chars,n_pairs,mean_trad,mean_simp_q,mean_diff,sd_diff,t,df,p_value,cohen_dz
gemma3:4b,65000,55,0.8818181818181818,0.9272727272727272,-0.045454545454545456,0.19890271381328498,-1.6947980485980962,54,0.09587387678327682,-0.22852652225356157
gemma3:4b,100000,55,0.6818181818181818,0.6818181818181818,0.0,0.3191423692521127,0.0,54,1.0,0.0
gemma3:4b,130000,55,0.5272727272727272,0.5272727272727272,0.0,0.2721655269759087,0.0,54,1.0,0.0
llama3.1:8b,65000,55,0.9272727272727272,0.9636363636363636,-0.03636363636363636,0.16257606352405152,-1.6587924393027287,54,0.10295565805028108,-0.22367152688659314
llama3.1:8b,100000,55,0.9090909090909091,0.9181818181818182,-0.00909090909090909,0.22548115407224356,-0.29900497238329293,54,0.7660839824542681,-0.04031782225132832
llama3.1:8b,130000,55,0.9181818181818182,0.8272727272727273,0.09090909090909091,0.29012942659282964,2.3237900077244507,54,0.023930042066375654,0.3133397807202562

# RQ2 (b) VIF: length_chars vs length_tokens (raw)
variable,VIF
length_chars,95.06955422032586
length_tokens,95.06955422032586

# RQ2 (b) VIF: log10_length_chars + token_overhead (model variables)
variable,VIF
log10_length_chars,1.3690776776905857
token_overhead,1.3690776776905853

# RQ2 (b) OLS coefficients
model,term,coef,std_err,p_value
M1_no_overhead,Intercept,1.2851799683029674,0.0189894175082015,0.0
M1_no_overhead,C(variant)[T.simplified_q],-0.005681818181818483,0.0069842498086718835,0.4159697216790484
M1_no_overhead,C(variant)[T.traditional],-0.007954545454543827,0.006984249808671958,0.2548029640524318
M1_no_overhead,C(needle_id)[T.N02],-0.008838383838383864,0.00901662773157956,0.3270318038461859
M1_no_overhead,C(needle_id)[T.N03],0.03282828282828288,0.009016627731579524,0.00027520959642434915
M1_no_overhead,C(needle_id)[T.N04],0.008207070707070847,0.009016627731579577,0.3627646064692284
M1_no_overhead,C(needle_id)[T.N05],0.02462121212121214,0.00901662773157954,0.006349095677188295
M1_no_overhead,C(model)[T.llama3.1:8b],0.04848484848484787,0.005702616089125734,2.60209544110103e-17
M1_no_overhead,log10_length_chars,-0.08973990253416461,0.004177939314803627,6.899036301825863e-97
M2_full,Intercept,1.1753275732844743,0.020849653389766784,0.0
M2_full,C(variant)[T.simplified_q],-0.005668598525527485,0.006864744282802104,0.40899282232823997
M2_full,C(variant)[T.traditional],-0.0521893481355607,0.007818263944211297,2.81038120302594e-11
M2_full,C(needle_id)[T.N02],-0.008414703869088649,0.00886241910577403,0.34243381341191176
M2_full,C(needle_id)[T.N03],0.033103024674975445,0.008862377114508272,0.0001901898714247907
M2_full,C(needle_id)[T.N04],0.009550768650111756,0.008863075468512368,0.2812822102959705
M2_full,C(needle_id)[T.N05],0.024213906498915985,0.008862413612998093,0.006319232195246315
M2_full,C(model)[T.llama3.1:8b],0.05184329992281202,0.005612234772632608,4.014979090582059e-20
M2_full,log10_length_chars,-0.05485437811282427,0.005056749735281611,4.898016859512672e-27
M2_full,token_overhead,2.643931258574082e-05,2.2364460794192197e-06,1.0226910325865938e-31

# RQ2 (b) Model summary
model,r_squared,adj_r_squared,n,df_residual,ll,aic,bic
M1_no_overhead,0.12494627923785606,0.12317446709761382,3960,3951,1188.7005183688593,-2359.4010367377186,-2302.845042999482
M2_full,0.15484966261605093,0.15292400361948,3960,3950,1257.5466113552998,-2495.0932227105995,-2432.2532296681143

# RQ2 (b) LRT (M2 vs M1)
LR_statistic,df_diff,p_value,ll_M1_reduced,ll_M2_full,aic_M1,aic_M2,bic_M1,bic_M2
137.6921859728809,1,8.509584360684831e-32,1188.7005183688593,1257.5466113552998,-2359.4010367377186,-2495.0932227105995,-2302.845042999482,-2432.2532296681143

# RQ2 (b) fertility by model (tokens/chars)
model,fertility
gemma3:4b,0.751571262950013
llama3.1:8b,0.8699570987600362
